File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
ba63437d-9d5e-4896-bd0a-1a865c1e3b66	C828.TCGA-FS-A4F9-10A-01D-A24R-08.3_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-FS-A4F9	TCGA-FS-A4F9-10A	Blood Derived Normal
65993725-cb56-4cd5-9f38-5f77362fb959	C828.TCGA-QB-A6FS-06A-11D-A30X-08.1_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-QB-A6FS	TCGA-QB-A6FS-06A	Metastatic
d343e49b-52a2-43d2-b0c3-ebbe35f27f7d	TCGA-EE-A2MJ-06A-11R-A18V-13_mirna_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EE-A2MJ	TCGA-EE-A2MJ-06A	Metastatic
c4ea5087-149a-4b7e-a21c-6bc8eb4831db	C828.TCGA-YD-A89C-06A-11D-A372-08.1_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-YD-A89C	TCGA-YD-A89C-06A	Metastatic
ccee0571-ce05-456d-bbde-c29d71ae010e	C828.TCGA-D9-A6EA-06A-11D-A30X-08.1_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-D9-A6EA	TCGA-D9-A6EA-06A	Metastatic
13797525-6a28-4513-b954-aeb60e18417a	C828.TCGA-FR-A8YE-06A-11D-A372-08.1_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-FR-A8YE	TCGA-FR-A8YE-06A	Metastatic
9039dbd3-e646-454d-8a79-d8340b672d2e	C828.TCGA-D9-A4Z2-01A-11D-A24R-08.3_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-D9-A4Z2	TCGA-D9-A4Z2-01A	Primary Tumor
52add958-15ae-4d20-b20d-db46dc33e730	9ba436ab-c28f-4607-bef2-608e9b7ecf15_gdc_realn_rehead.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-ER-A19Q	TCGA-ER-A19Q-06A	Metastatic
1613ea9f-7aaa-4266-96dd-e50ef08092a0	C828.TCGA-FW-A5DY-11A-12D-A30X-08.1_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-FW-A5DY	TCGA-FW-A5DY-11A	Solid Tissue Normal
8b257071-d64c-4356-abd9-8cde527c696e	967960c5-9ea5-4cb3-b486-f536e89db7f7_gdc_realn_rehead.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EE-A3J8	TCGA-EE-A3J8-06A	Metastatic
31782816-5c55-4f93-96c9-d5be2a30da01	f557c866-72ab-4ead-aa62-f5aaf71cbe56_gdc_realn_rehead.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-FS-A1ZK	TCGA-FS-A1ZK-06A	Metastatic
8653cec8-293d-41b4-bd30-51d8c4f3df48	8323fd51-84c0-4482-baef-66dd9630db0b_gdc_realn_rehead.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EE-A2A6	TCGA-EE-A2A6-06A	Metastatic
5f6324cb-6fce-4785-b8cd-d391d33d17c7	C828.TCGA-EE-A182-06A-11D-A196-08.2_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EE-A182	TCGA-EE-A182-06A	Metastatic
b3739830-5e59-4cc1-97dd-68e86fda3c26	TCGA-D3-A1QA-07A-11R-A37G-13_mirna_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-D3-A1QA	TCGA-D3-A1QA-07A	Additional Metastatic
8b165d45-a79e-4440-bb76-a001dab7a7e5	cc5d5afd-8944-41e3-a6a3-26d448fcbb98_gdc_realn_rehead.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EB-A41B	TCGA-EB-A41B-01A	Primary Tumor
3886fe26-e40e-442e-89e1-bb9dad82c6b7	TCGA-EB-A44O-01A-11R-A25Z-13_mirna_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-EB-A44O	TCGA-EB-A44O-01A	Primary Tumor
4013eb76-503a-4490-8cea-d074cb9a4f6c	C828.TCGA-ER-A42L-06A-11D-A24R-08.3_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-SKCM	TCGA-ER-A42L	TCGA-ER-A42L-06A	Metastatic
